id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
ark://27927/phxcf900sn,"Determination of the origin and nature of brain macrophages and microglial cells in mouse central nervous system, using non‐radioactive in situ hybridization and immunoperoxidase techniques",Glia,1992,10.1002/glia.440060408,article,,portico,,1992-01-01,4,6,http://doi.org/10.1002/glia.440060408,Wim Huppes; Christine D. Dijkstra; Taede Sminia; Georg Kraal; Corline J. A. De Groot,"John Wiley & Sons, Inc.",eng,301,309,,brain macrophages; microglial cells; microglia; marrow; mouse brain; microglia like; situ hybridization; medulla oblongata; transgenic; mabs moma,5296,9,unigram; bigram; trigram
ark://27927/phw4718zc7,Az Orvosi Hetilap 2002 júniusi lapszámai,Orvosi Hetilap,2002,10.1556/650.1984.06.03,article,collection,portico,,2002-06-03,23-26,125,http://doi.org/10.1556/650.1984.06.03,,Akademiai Kiado Zrt.,hun,1361,1608,,idiopathic throm; basalis vagus; throm bocyta; purpura; bocytopenia; nem volt; botic throm; plasma; bocytopenic purpura; throm bocytopenic purpura,268785,224,unigram; bigram; trigram
http://www.jstor.org/stable/29544594,"Early colonial burial practices for perinates at the Parramatta convict hospital, NSW",Australasian Historical Archaeology,2008,,article,research-article,jstor,,2008-01-01,,26,http://www.jstor.org/stable/29544594,DENISE DONLON; MARY CASEY; WOLFGANG HAAK; CHRISTINA ADLER; Wolfgang Hack,Australasian Society for Historical Archaeology,eng,71,83,,parramatta; storage cellar; convict hospital; casey lowe; parramatta convict; skeleton pjp; skeletal remains; rubbish pit; burial; petrous temporal,9564,13,unigrams; bigrams; trigrams
ark://27927/phz47s9t0w4,Breastfeeding and weaning practices of the ancestral Ohlone Indians of California: A case study using stable isotope analysis of bone collagen,International Journal of Osteoarchaeology,2018,10.1002/oa.2681,article,,portico,,2018-09-01,5,28,http://doi.org/10.1002/oa.2681,Issue Editor: Yadira Chinique de Armas; Karen S. Gardner; Antoinette Martinez; Alan Leventhal; Issue Editor: Mirjana Roksandic; Eric J. Bartelink; Rosemary Cambra,"John Wiley & Sons, Inc.",eng,523,534,,weaning; bone collagen; isotope; breastfeeding; weaning practices; nitrogen isotope; bartelink; breastfeeding and weaning; stable; values,7937,12,unigram; bigram; trigram
http://www.jstor.org/stable/43095059,Front Matter,Technical Communication,1995,,article,misc,jstor,,1995-03-01,1,42,http://www.jstor.org/stable/43095059,,Society for Technical Communication,eng,,,,technical; technical communicators; documentation; janice ginny; ginny redish; software; laser image; janice ginny redish; writing; jimmie killingsworth,4899,12,unigrams; bigrams; trigrams
http://www.jstor.org/stable/25223811,Microsatellite Typing of Ancient Maize: Insights into the History of Agriculture in Southern South America,Proceedings: Biological Sciences,2007,,article,research-article,jstor,,2007-02-22,1609,274,http://www.jstor.org/stable/25223811,Verónica V. Lia; Viviana A. Confalonieri; Norma Ratto; Julián A. Cámara Hernández; Ana M. Miante Alzogaray; Lidia Poggio; Terence A. Brown,The Royal Society,eng,545,554,,archaeological; archaeological specimens; andean complex; punta colorada; microsatellite; argentina; ancient dna; ancient; landraces; microsatellite typing,8124,10,unigrams; bigrams; trigrams
ark://27927/phz1kngf80z,Delineation of an evolutionary salvage pathway by compensatory mutations of a defective lysozyme,Protein Science,1998,10.1002/pro.5560071018,article,,portico,,1998-10-01,10,7,http://doi.org/10.1002/pro.5560071018,Anthony R. Poteete; Milan Jucovic,"John Wiley & Sons, Inc.",eng,2200,2209,,lysozyme; lysozyme gene; dna shuffling; random mutagenesis; mutations; protein; revertants; mutant; plaques; site revertants,7250,10,unigram; bigram; trigram
ark://27927/pjb3d2r1jkq,Cooperation and Cattle Herding in Eighteenth Century Acadia: Implications for Archaeological Studies of Agropastoralism,Journal of Ethnobiology,2022,10.2993/0278-0771-42.1.69,article,research-article,portico,,2022-03-28,1,42,http://doi.org/10.2993/0278-0771-42.1.69,Joanne E. Hughes; Martin H. Welker; Sarah B. McClure,BioOne,eng,69,85,,acadian; cattle; nova scotia; livestock; households; ethnobiology; dyson hudson; cape breton; herd size; ebersbach,8499,17,unigram; bigram; trigram
ark://27927/pjc16px2jt3,"Patterns of entheseal changes and other activity markers in an ancient population from Neolithic to Bronze Age (8000–2300 BP) at the Houtaomuga site, Northeast China with special references to climate changes, subsistence strategies, sex‐based labor divisions, and regional variations",International Journal of Osteoarchaeology,2024,10.1002/oa.3335,article,researchArticle,portico,,2024-09-01,5,34,http://doi.org/10.1002/oa.3335,Ruiqi Zou; Lixin Wang; Shuxin Kong; Haiyang Xing; Xiaofan Sun; Quanchao Zhang; Zhe Zhang; Qian Wang,"John Wiley & Sons, Inc.",eng,n/a,n/a,,humerus; quadriceps tendon; late group; lower limbs; group males; squatting facets; changes; achilles tendon; vastus medialis; ligament,19739,23,unigram; bigram; trigram
ark://27927/phznhbjr16m,"Comparison of DNA yield and STR profiles from the diaphysis, mid‐diaphysis, and metaphysis regions of femur and tibia long bones",Journal of Forensic Sciences,2021,10.1111/1556-4029.14657,article,,portico,,2021-05-01,3,66,http://doi.org/10.1111/1556-4029.14657,Kelly M. Elkins PhD; Cynthia B. Zeller PhD; Dana D. Kollmann PhD; Adam Klavens MSFS,"John Wiley & Sons, Inc.",eng,1104,1113,,diaphysis; midshaft diaphysis; dna recovery; distal diaphysis; metaphysis; proximal diaphysis; proximal metaphysis; distal metaphysis; femora; tibiae,4763,10,unigram; bigram; trigram
