identifier,alternative_identifiers,country,continent,region,culture,epoch,group,comment,latitude,longitude,sex,site,site_detail,mt_hg,ychr_hg,year_from,year_to,date_detail,bp,c14_lab_code,reference_name,reference_link,data_link,c14_sample_tag,c14_layer_tag,ychr_snps,avg_coverage,sequence_source,mitopatho_alleles,mitopatho_positions,mitopatho_locus,mitopatho_diseases,mitopatho_statuses,mitopatho_homoplasms,mitopatho_heteroplasms
I19209,none,United Kingdom,Europe,"England, Oxfordshire, Yarnton",England_MIA_lc,Iron Age,none,none,51.7977,-1.313464,M,England_MIA_lc,none,H,..,400 BCE,200 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11143,none,United Kingdom,Europe,"England, Somerset, Worlebury",England_MIA_LIA,Iron Age,none,none,51.357334,-2.988282,M,England_MIA_LIA,none,H3b+16129,R1b1a1b1a1a2a,352 calBCE,53 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11152,none,United Kingdom,Europe,"England, Cambridgeshire, Over",England_MIA_LIA,Iron Age,none,none,52.346588,0.031827553,M,England_MIA_LIA,none,U3a1,G2a2b2a1a1b1a1a2b,355 calBCE,59 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11991,none,United Kingdom,Europe,"England, Somerset, Worlebury",England_MIA_LIA,Iron Age,none,none,51.357334,-2.988282,M,England_MIA_LIA,none,H3b+16129,R1b1a1b1a1a2c1,349 calBCE,50 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11992,none,United Kingdom,Europe,"England, Somerset, Worlebury",England_MIA_LIA,Iron Age,none,none,51.357334,-2.988282,M,England_MIA_LIA,none,H3b+16129,R1b1a1b1a1a2c1,343 calBCE,50 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11993,none,United Kingdom,Europe,"England, Somerset, Ham Hill",England_MIA_LIA,Iron Age,none,none,50.949985,-2.735842,F,England_MIA_LIA,none,J1c2a2,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11994,none,United Kingdom,Europe,"England, Somerset, Ham Hill",England_MIA_LIA,Iron Age,none,none,50.949985,-2.735842,F,England_MIA_LIA,none,U5a2c3a,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12790,none,United Kingdom,Europe,"England, Cornwall, Newquay, Tregunnel",England_MIA_LIA,Iron Age,none,none,50.409374,-5.088903,F,England_MIA_LIA,none,H2a1,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12793,none,United Kingdom,Europe,"England, Cornwall, Newquay, Tregunnel",England_MIA_LIA,Iron Age,none,none,50.409374,-5.088903,M,England_MIA_LIA,none,H2a1,R1b1a1b1a1a2c1,400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12926,none,United Kingdom,Europe,"England, Gloucestershire, Fairford, Saxon Way",England_MIA_LIA,Iron Age,none,none,51.709659,-1.791815,M,England_MIA_LIA,none,H2a2a2,R1b1a1b1a1a2c1,400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13616,none,United Kingdom,Europe,"England, Kent, East Kent Access Road",England_MIA_LIA,Iron Age,none,none,51.3603,1.3405,F,England_MIA_LIA,none,H1b1+16362,n/a (female),356 calBCE,49 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13726,none,United Kingdom,Europe,"England, Somerset, Worlebury",England_MIA_LIA,Iron Age,none,none,51.357334,-2.988282,M,England_MIA_LIA,none,H13a1a1,R1b1a1b1a1a2c1,351 calBCE,52 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14353,none,United Kingdom,Europe,"England, West Yorkshire, Wattle Syke",England_MIA_LIA,Iron Age,none,none,53.9085,-1.384997,M,England_MIA_LIA,none,U5b2a1a1,R1b1a1b1a1a2c1,349 calBCE,51 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14809,none,United Kingdom,Europe,"England, Oxfordshire, Thame",England_MIA_LIA,Iron Age,none,none,51.75,-0.99,M,England_MIA_LIA,none,V7,R1b1a1b1a1a2,358 calBCE,108 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14837,none,United Kingdom,Europe,"England, West Yorkshire, Dalton Parlours",England_MIA_LIA,Iron Age,none,none,53.8954,-1.388994,F,England_MIA_LIA,none,K1a4a1c,n/a (female),381 calBCE,6 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16386,none,United Kingdom,Europe,"England, Cornwall, Newquay, Trethellan Farm",England_MIA_LIA,Iron Age,none,none,50.203523,-5.199698,F,England_MIA_LIA,none,T1a1,n/a (female),300 BCE,100 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16450,none,United Kingdom,Europe,"England, Cornwall, Newquay, Trethellan Farm",England_MIA_LIA,Iron Age,none,none,50.203523,-5.199698,M,England_MIA_LIA,none,T1a1,R1b1a1b1a1a2a,300 BCE,100 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16455,none,United Kingdom,Europe,"England, Cornwall, Newquay, Trethellan Farm",England_MIA_LIA,Iron Age,none,none,50.203523,-5.199698,M,England_MIA_LIA,none,T1,R1b1a1b1a1a2c,300 BCE,100 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16457,none,United Kingdom,Europe,"England, Cornwall, Newquay, Trethellan Farm",England_MIA_LIA,Iron Age,none,none,50.203523,-5.199698,F,England_MIA_LIA,none,T1a1,n/a (female),300 BCE,100 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16458,none,United Kingdom,Europe,"England, Cornwall, Newquay, Trethellan Farm",England_MIA_LIA,Iron Age,none,none,50.203523,-5.199698,M,England_MIA_LIA,none,T2c1d+152,R1b1a1b1a1a2c1a6a,300 BCE,100 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16601,none,United Kingdom,Europe,"England, Wiltshire, Amesbury Down",England_MIA_LIA,Iron Age,none,none,51.168023,-1.7725402,F,England_MIA_LIA,none,H17,n/a (female),343 calBCE,43 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16609,none,United Kingdom,Europe,"England, Hampshire, Middle Wallop, Suddern Farm",England_MIA_LIA,Iron Age,none,none,51.140932,-1.598337,M,England_MIA_LIA,none,J1c2e,F,341 calBCE,46 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16613,none,United Kingdom,Europe,"England, Hampshire, Nether Wallop, Danebury",England_MIA_LIA,Iron Age,none,none,51.138291,-1.53093,M,England_MIA_LIA,none,J1b1a1,F,351 calBCE,54 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16619,none,United Kingdom,Europe,"England, Sussex, Brighton, Bevendean",England_MIA_LIA,Iron Age,none,none,50.839112,-0.097013,M,England_MIA_LIA,none,H49,R1b1a1b,361 calBCE,106 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I17262,none,United Kingdom,Europe,"England, Hampshire, Middle Wallop, Suddern Farm",England_MIA_LIA,Iron Age,none,none,51.140932,-1.598337,F,England_MIA_LIA,none,T2b,n/a (female),357 calBCE,57 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I17263,none,United Kingdom,Europe,"England, Hampshire, Nether Wallop, Danebury",England_MIA_LIA,Iron Age,none,none,51.138291,-1.53093,F,England_MIA_LIA,none,J1c1c,n/a (female),346 calBCE,52 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I17264,none,United Kingdom,Europe,"England, Hampshire, Nether Wallop, Danebury",England_MIA_LIA,Iron Age,none,none,51.138291,-1.53093,M,England_MIA_LIA,none,U2e1f1,R1b1a1b1a1a2c1,450 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I17266,none,United Kingdom,Europe,"England, Hampshire, Nether Wallop, Danebury",England_MIA_LIA,Iron Age,none,none,51.138291,-1.53093,F,England_MIA_LIA,none,U5b1b1+@16192,n/a (female),355 calBCE,60 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I17267,none,United Kingdom,Europe,"England, Hampshire, Nether Wallop, Danebury",England_MIA_LIA,Iron Age,none,none,51.138291,-1.53093,F,England_MIA_LIA,none,V,n/a (female),450 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19040,none,United Kingdom,Europe,"England, Hampshire, Winnall Down",England_MIA_LIA,Iron Age,none,none,51.07,-1.29,F,England_MIA_LIA,none,H1m,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19042,none,United Kingdom,Europe,"England, Hampshire, Winnall Down",England_MIA_LIA,Iron Age,none,none,51.07,-1.29,F,England_MIA_LIA,none,T2b33,n/a (female),715 calBCE,48 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19657,none,United Kingdom,Europe,"England, Somerset, Ham Hill",England_MIA_LIA,Iron Age,none,none,50.949985,-2.735842,F,England_MIA_LIA,none,H5s,n/a (female),356 calBCE,59 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19854,none,United Kingdom,Europe,"England, Somerset, Ham Hill",England_MIA_LIA,Iron Age,none,none,50.949985,-2.735842,F,England_MIA_LIA,none,J1c2a2,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19855,none,United Kingdom,Europe,"England, Somerset, Ham Hill",England_MIA_LIA,Iron Age,none,none,50.949985,-2.735842,M,England_MIA_LIA,none,H1ak1,R1b1a1b1a1a2c1,400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20584,none,United Kingdom,Europe,"England, Oxfordshire, Stanton Harcourt, Gravelly Guy",England_MIA_LIA,Iron Age,none,none,51.74585,-1.416236,F,England_MIA_LIA,none,K1a4a1,n/a (female),355 calBCE,54 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20621,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,F,England_MIA_LIA,none,T2c1d1,n/a (female),400 BCE,50 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20622,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,M,England_MIA_LIA,none,T2c1d1,I2a1b1a1a1b1a,357 calBCE,60 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20623,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,F,England_MIA_LIA,none,V2b,n/a (female),400 BCE,150 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20624,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,M,England_MIA_LIA,none,U2e1a1,R1b1a1b,356 calBCE,108 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20625,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,M,England_MIA_LIA,none,T1a1,R1b1a1b,343 calBCE,49 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20626,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,M,England_MIA_LIA,none,H7b,I2a1b1b,346 calBCE,53 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20628,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,M,England_MIA_LIA,none,I2a,R1b1a1b1a1a2c1a5c,351 calBCE,52 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20630,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,M,England_MIA_LIA,none,H1au1b,..,400 BCE,50 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20631,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,F,England_MIA_LIA,none,V2b,n/a (female),400 BCE,50 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20634,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA,Iron Age,none,none,53.235833,-1.736944,M,England_MIA_LIA,none,K2b1a1a,R1b1a1b,400 BCE,50 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20982,none,United Kingdom,Europe,"England, Hampshire, Middle Wallop, Suddern Farm",England_MIA_LIA,Iron Age,none,none,51.140932,-1.598337,M,England_MIA_LIA,none,J1c3,R1b1a1b1a1a2b1,450 BCE,1 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20983,none,United Kingdom,Europe,"England, Hampshire, Middle Wallop, Suddern Farm",England_MIA_LIA,Iron Age,none,none,51.140932,-1.598337,F,England_MIA_LIA,none,H3b+16129,n/a (female),450 BCE,1 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20984,none,United Kingdom,Europe,"England, Hampshire, Middle Wallop, Suddern Farm",England_MIA_LIA,Iron Age,none,none,51.140932,-1.598337,F,England_MIA_LIA,none,H1j6,n/a (female),450 BCE,1 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20985,none,United Kingdom,Europe,"England, Hampshire, Middle Wallop, Suddern Farm",England_MIA_LIA,Iron Age,none,none,51.140932,-1.598337,F,England_MIA_LIA,none,U4a3a,n/a (female),450 BCE,1 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20986,none,United Kingdom,Europe,"England, Hampshire, Middle Wallop, Suddern Farm",England_MIA_LIA,Iron Age,none,none,51.140932,-1.598337,F,England_MIA_LIA,none,HV0+195,n/a (female),450 BCE,1 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20987,none,United Kingdom,Europe,"England, Hampshire, Middle Wallop, Suddern Farm",England_MIA_LIA,Iron Age,none,none,51.140932,-1.598337,M,England_MIA_LIA,none,U5b2b3,R1b1a1b1a1a2c1,450 BCE,1 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20988,none,United Kingdom,Europe,"England, Hampshire, Nether Wallop, Danebury",England_MIA_LIA,Iron Age,none,none,51.138291,-1.53093,M,England_MIA_LIA,none,T2b19,I2a1b1a1a1b1a,450 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20989,none,United Kingdom,Europe,"England, Hampshire, Nether Wallop, Danebury",England_MIA_LIA,Iron Age,none,none,51.138291,-1.53093,M,England_MIA_LIA,none,K1c1,R1b1a1b1a1a2,354 calBCE,59 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21271,none,United Kingdom,Europe,"England, Oxfordshire, Stanton Harcourt, Gravelly Guy",England_MIA_LIA,Iron Age,none,none,51.74585,-1.416236,F,England_MIA_LIA,none,W1c,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21272,none,United Kingdom,Europe,"England, Oxfordshire, Stanton Harcourt, Gravelly Guy",England_MIA_LIA,Iron Age,none,none,51.74585,-1.416236,M,England_MIA_LIA,none,V,R1b1a1b1a1a2c1a5c,400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21274,none,United Kingdom,Europe,"England, Oxfordshire, Stanton Harcourt, Gravelly Guy",England_MIA_LIA,Iron Age,none,none,51.74585,-1.416236,F,England_MIA_LIA,none,K1a4a1,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21275,none,United Kingdom,Europe,"England, Oxfordshire, Stanton Harcourt, Gravelly Guy",England_MIA,Iron Age,none,none,51.74585,-1.416236,F,England_MIA,none,K1a4a1,n/a (female),384 calBCE,202 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21277,none,United Kingdom,Europe,"England, Oxfordshire, Stanton Harcourt, Gravelly Guy",England_MIA,Iron Age,none,none,51.74585,-1.416236,M,England_MIA,none,K1a4a1,R1b1a1b1a1a2c1a5c,359 calBCE,54 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21307,none,United Kingdom,Europe,"England, Wiltshire, Battlesbury Bowl",England_MIA_LIA,Iron Age,none,none,51.217744,-2.136648,M,England_MIA_LIA,none,H7d,R1b1a1b1a1,346 calBCE,52 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21308,none,United Kingdom,Europe,"England, Wiltshire, Battlesbury Bowl",England_MIA_LIA,Iron Age,none,none,51.217744,-2.136648,M,England_MIA_LIA,none,J1c1b,R1b1a1b1a1a2c1,356 calBCE,110 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21309,none,United Kingdom,Europe,"England, Wiltshire, Battlesbury Bowl",England_MIA_LIA,Iron Age,none,none,51.217744,-2.136648,M,England_MIA_LIA,none,X2b+226,R1b1a1b1a1a2c1,354 calBCE,57 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21310,none,United Kingdom,Europe,"England, Wiltshire, Battlesbury Bowl",England_MIA_LIA,Iron Age,none,none,51.217744,-2.136648,F,England_MIA_LIA,none,U4c1,n/a (female),386 calBCE,58 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21311,none,United Kingdom,Europe,"England, Wiltshire, Battlesbury Bowl",England_MIA_LIA,Iron Age,none,none,51.217744,-2.136648,F,England_MIA_LIA,none,H16+152,n/a (female),336 calBCE,49 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21312,none,United Kingdom,Europe,"England, Wiltshire, Casterley Camp",England_MIA_LIA,Iron Age,none,none,51.28086,-1.835571,M,England_MIA_LIA,none,J1b1a1,R1b1a1b1a1a2c1,343 calBCE,51 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21313,none,United Kingdom,Europe,"England, Wiltshire, Casterley Camp",England_MIA_LIA,Iron Age,none,none,51.28086,-1.835571,M,England_MIA_LIA,none,H3g,R1b1a1b1a1a2,354 calBCE,57 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I21314,none,United Kingdom,Europe,"England, Wiltshire, Casterley Camp",England_MIA_LIA,Iron Age,none,none,51.28086,-1.835571,F,England_MIA_LIA,none,V23,n/a (female),342 calBCE,51 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19655,none,United Kingdom,Europe,"England, Somerset, Ham Hill",England_MIA_LIA_alt,Iron Age,none,none,50.949985,-2.735842,F,England_MIA_LIA_alt,none,H1c3a,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19037,none,United Kingdom,Europe,"England, Hampshire, Winnall Down",England_MIA_LIA_highEEF,Iron Age,none,none,51.07,-1.29,F,England_MIA_LIA_highEEF,none,J1b1a1b,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13681,none,United Kingdom,Europe,"England, Somerset, Worlebury",England_MIA_LIA_lc,Iron Age,none,none,51.357334,-2.988282,M,England_MIA_LIA_lc,none,H3b+16129,..,400 BCE,50 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16387,none,United Kingdom,Europe,"England, Cornwall, Newquay, Trethellan Farm",England_MIA_LIA_lc,Iron Age,none,none,50.203523,-5.199698,M,England_MIA_LIA_lc,none,n/a (<2x),R1b1a1b1a1a2,300 BCE,100 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16390,none,United Kingdom,Europe,"England, Cornwall, Newquay, Trethellan Farm",England_MIA_LIA_lc,Iron Age,none,none,50.203523,-5.199698,F,England_MIA_LIA_lc,none,n/a (<2x),n/a (female),300 BCE,100 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16456,none,United Kingdom,Europe,"England, Cornwall, Newquay, Trethellan Farm",England_MIA_LIA_lc,Iron Age,none,none,50.203523,-5.199698,U,England_MIA_LIA_lc,none,n/a (<2x),n/a (female),300 BCE,100 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16596,none,United Kingdom,Europe,"England, Somerset, Worlebury",England_MIA_LIA_lc,Iron Age,none,none,51.357334,-2.988282,M,England_MIA_LIA_lc,none,H3b+16129,..,400 BCE,50 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19655,none,United Kingdom,Europe,"England, Somerset, Ham Hill",England_MIA_LIA_lc,Iron Age,none,none,50.949985,-2.735842,F,England_MIA_LIA_lc,none,H1c3a,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12792,none,United Kingdom,Europe,"England, Cornwall, Newquay, Tregunnel",England_MIA_LIA_mother.I12793,Iron Age,none,none,50.409374,-5.088903,F,England_MIA_LIA_mother.I12793,none,H2a1,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20632,none,United Kingdom,Europe,"England, Derbyshire, Fin Cop",England_MIA_LIA_o,Iron Age,none,none,53.235833,-1.736944,M,England_MIA_LIA_o,none,V2b,R1b1a1b1a1a,400 BCE,50 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12779,none,United Kingdom,Europe,"England, Derbyshire, Brassington, Carsington Pasture Cave",England_MIA_lowEEF,Iron Age,none,none,53.079803,-1.640942,F,England_MIA_lowEEF,none,T2b4c,n/a (female),370 calBCE,197 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14378,none,United Kingdom,Europe,"England, Kent, Cliffs End Farm",England_MIA_lowEEF,Iron Age,none,none,51.329195,1.3693088,F,England_MIA_lowEEF,none,I2,n/a (female),400 calBCE,208 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14326,none,United Kingdom,Europe,"England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 13)",England_N,Neolithic,none,none,54.11173333,-0.284113889,F,England_N,none,H1c,n/a (female),3074 calBCE,2892 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16463,none,United Kingdom,Europe,"England, North Yorkshire, Cockerham, Elbolton Cave",England_N,Neolithic,none,none,54.050362,-1.989273,M,England_N,none,H4a1a2,I2a1b1a1a1,4000 BCE,3500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I3005,none,United Kingdom,Europe,"England, Somerset, Burrington Combe, Aveline's Hole",England_N,Neolithic,none,none,51.324706,-2.753248,F,England_N,none,K1a4a1,n/a (female),3781 calBCE,3643 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I3040,none,United Kingdom,Europe,"England, Sussex, Brighton, Whitehawk",England_N,Neolithic,none,none,50.828981,-0.112825,M,England_N,none,U8b,I2a1b1,3650 BCE,3500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I4949,none,United Kingdom,Europe,"England, Wiltshire, Winterbourne Monkton, North Millbarrow",England_N,Neolithic,none,none,51.5243,-2.501,M,England_N,none,T2b,I2a1b1a1a1,3624 calBCE,3376 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I5387,none,United Kingdom,Europe,"England, Wiltshire, Avebury, West Kennet",England_N,Neolithic,none,none,51.243083,-1.51039,M,England_N,none,U5a2d,I2a1b1a1a1,3300 BCE,2500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I6746,none,United Kingdom,Europe,"England, Somerset, Burrington Combe, Aveline's Hole",England_N,Neolithic,none,none,51.324706,-2.753248,F,England_N,none,U5b1+16189+@16192,n/a (female),3697 calBCE,3384 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I6747,none,United Kingdom,Europe,"England, Derbyshire, Brassington, Carsington Pasture Cave",England_N,Neolithic,none,none,53.079803,-1.640942,M,England_N,none,J1c1b,I2a1b1a1a1,3645 calBCE,3526 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I6753,none,United Kingdom,Europe,"England, Kent, Trottiscliffe, Coldrum",England_N,Neolithic,none,none,51.321578,0.372682,M,England_N,none,K1a2b,I2a1b1a1a1,3730 BCE,2980 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I6755,none,United Kingdom,Europe,"England, North Yorkshire, Ha Cave, Giggleswick Scar",England_N,Neolithic,none,none,54.074439,-2.287284,M,England_N,none,K,I2a1b1a1a1b,3644 calBCE,3527 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I6757,none,United Kingdom,Europe,"England, North Yorkshire, Attermire Scar, Jubilee Cave",England_N,Neolithic,none,none,54.081683,-2.27362,M,England_N,none,J1c9,I2a1b1a1a1b,3642 calBCE,3378 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I6760,none,United Kingdom,Europe,"England, Gloucestershire, Hampnett, Burn Ground",England_N,Neolithic,none,none,51.843407,-1.850443,M,England_N,none,U5b2a,I2a1b1a1a1,3946 calBCE,3710 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I3039,none,United Kingdom,Europe,"England, Sussex, Brighton, Whitehawk",England_N_1d.rel.I6761,Neolithic,none,none,50.828981,-0.112825,M,England_N_1d.rel.I6761,none,R,I2a1b1,3650 BCE,3500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I3039,none,United Kingdom,Europe,"England, Sussex, Brighton, Whitehawk",England_N_1d.rel.I6761_noUDG.SG,Neolithic,none,none,50.828981,-0.112825,M,England_N_1d.rel.I6761_noUDG.SG,none,M / V / B4,I2a2a,3650 BCE,3500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I3040,none,United Kingdom,Europe,"England, Sussex, Brighton, Whitehawk",England_N_noUDG.SG,Neolithic,none,none,50.828981,-0.112825,M,England_N_noUDG.SG,none,K1a11,I2a2a,3650 BCE,3500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I5387,none,United Kingdom,Europe,"England, Wiltshire, Avebury, West Kennet",England_N_noUDG.SG,Neolithic,none,none,51.243083,-1.51039,M,England_N_noUDG.SG,none,U5a,I2a2a1,3300 BCE,2500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
