"Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"
"1196-1010 calBCE (2900±20 BP, PSUAMS-2506)"
"1459-1628 calCE (388±27 BP, OxA-30803)"
"2133-1897 calBCE (3670±20 BP, PSUAMS-4982)"
"2116-1882 calBCE (3640±20 BP, PSUAMS-4983)"
"1639-1797 calCE (270±15 BP, PSUAMS-4938)"
"1296-1394 calCE (635±15 BP, PSUAMS-4939)"
"903-1023 calCE (1110±15 BP, PSUAMS-4942)"
"893-990 calCE (1160±15 BP, PSUAMS-4625)"
"892-992 calCE (1110±15 BP, PSUAMS-4743)"
"891-987 calCE (1170±15 BP, PSUAMS-4788)"
"119-216 calCE (1895±15 BP, PSUAMS-4783)"
"229-358 calCE (1800±20 BP, PSUAMS-4940)"
"750-404 calBCE (2470±15 BP, PSUAMS-4624)"
"750-402 calBCE (2465±20 BP, PSUAMS-4716)"
"1111-931 calBCE (2855±20 BP, PSUAMS-4510)"
"719-233 calBCE (2400±20 BP, PSUAMS-4784)"
"1401-1134 calBCE (3070±20 BP, PSUAMS-4723)"
"374-161 calBCE (2235±20 BP, PSUAMS-4744)"
"382-186 calBCE (2255±20 BP, PSUAMS-4789)"
"91 calBCE - 24 calCE (2070±15 BP, PSUAMS-4758)"
"436-580 calCE (1585±15 BP, PSUAMS-4943)"
"753-408 calBCE (2480±20 BP, PSUAMS-4945)"
"123-229 calCE (1880±15 BP, PSUAMS-4741)"
"541-383 calBCE (2400±15 BP, PSUAMS-4725)"
"742-396 calBCE (2440±20 BP, PSUAMS-4512)"
"786-542 calBCE (2550±15 BP, PSUAMS-4715)"
"898-800 calBCE (2675±20 BP, PSUAMS-4717)"
"399-201 calBCE (2320±20 BP, PSUAMS-4720)"
"395-201 calBCE (2310±15 BP, PSUAMS-4724)"
"2204-2038 calBCE (3735±20 BP, PSUAMS-4607)"
"2122-1926 calBCE (3630±20 BP, PSUAMS-4750)"
"3351-3032 calBCE (4525±25 BP, UCIAMS-186348)"
"3351-3032 calBCE (4525±25 BP, UCIAMS-186348)"
"658-390 calBCE (2413±15) [R_combine: (2425±20 BP, PSUAMS-1734); (2400±20 BP, PSUAMS-1881)]"
"658-390 calBCE (2413±15) [R_combine: (2425±20 BP, PSUAMS-1734); (2400±20 BP, PSUAMS-1881)]"
"4230-3979 calBCE (5290±25 BP, UCIAMS-186347)"
"4230-3979 calBCE (5290±25 BP, UCIAMS-186347)"
"6222-5925 calBCE (7230±60 BP, PSUAMS-2535)"
"6222-5925 calBCE (7230±60 BP, PSUAMS-2535)"
"7131-6775 calBCE (8075±35 BP, PSUAMS-5145)"
"7131-6775 calBCE (8075±35 BP, PSUAMS-5145)"
"7131-6775 calBCE (8075±35 BP, PSUAMS-5145)"
"6222-5925 calBCE (7230±60 BP, PSUAMS-2535)"
"1485-1637 calCE (335±20 BP, PSUAMS-4430)"
"1451-1624 calCE (380±20 BP, PSUAMS-4431)"
"1501-1646 calCE (310±20 BP, PSUAMS-8280)"
"1472-1632 calCE (355±15 BP, PSUAMS-4020)"
"1436-1490 calCE (420±20 BP, PSUAMS-4021)"
"1420-1454 calCE (470±20 BP, PSUAMS-11034)"
"1644-1797 calCE (235±15 BP, PSUAMS-11009)"
"1644-1797 calCE (235±15 BP, PSUAMS-12040)"
"1636-1795 calCE (255±15 BP, PSUAMS-12041)"
"1409-1444 calCE (495±20 BP, PSUAMS-11035)"
1426-1467 calCE (445±20 BP PSUAMS-11917)
"815-781 calBCE (2625±20 BP, PSUAMS-9806)"
"928-827 calBCE (2745±20 BP, PSUAMS-9545)"
"2865-2576 calBCE (4115±25 BP, PSUAMS-9804)"
"1388-1133 calBCE (3020±25 BP, UCIAMS-226529, PSUG-5432)"
"3316-2916 calBCE (4410±31 BP, OxA-36221)"
"3320-2918 calBCE (4415±31 BP, OxA-36222)"
"2857-2501 calBCE (4095±25 BP, PSUAMS-6942)"
"5973-4461 calBCE [union of two dates: 5973-5745 calBCE (6965±35 BP, PSUAMS-7279); 4684-4461 BCE (5732±34 BP, OxA-36223)]"
"5211-4995 calBCE (6145±35 BP, PSUAMS-3931)"
"2574-2459 calBCE (3980±25 BP, UCIAMS-226526, PSUG-5429)"
"2571-2471 calBCE (4004±15 BP) [R_combine: (3983±17 BP, GrM-12984); (4050±25 BP, UCIAMS-226530, PSUG-5433); (3838±40 BP, Le-6932, Le-6933, Le-6939)]"
"2913-2710 calBCE (4250±25 BP, UCIAMS-226551, PSUG-5466)"
"3012-2875 calBCE (4290±35 BP, PSUAMS-6944)"
"2619-2474 calBCE (4034±16 BP, GrM-12938)"
"1043-911 calBCE (2820±20 BP, PSUAMS-7281)"
"512-389 calBCE (2360±20 BP, UCIAMS-226556, PSUG-5471)"
"396-210 calBCE (2270±20 BP, UCIAMS-226560, PSUG-5475)"
"971-830 calBCE (2755±20 BP, UCIAMS-226562, PSUG-5476)"
"358-170 calBCE (2185±20 BP, PSUAMS-7273)"
"399-231 calBCE (2280±20 BP, UCIAMS-226546, PSUG-5461)"
"370-197 calBCE (2210±20 BP, PSUAMS-7268)"
"361-170 calBCE (2190±25 BP, PSUAMS-7270)"
"346-57 calBCE (2140±20 BP, PSUAMS-7396)"
"357-167 calBCE (2180±20 BP, PSUAMS-7397)"
"387-208 calBCE (2245±20 BP, PSUAMS-7271)"
"370-197 calBCE (2210±20 BP, PSUAMS-7272)"
"389-208 calBCE (2250±20 BP, PSUAMS-4000)"
"373-199 calBCE (2215±20 BP, PSUAMS-4001)"
"389-208 calBCE (2250±20 BP, PSUAMS-4002)"
"398-228 calBCE (2275±20 BP, PSUAMS-4003)"
"382-206 calBCE (2235±20 BP, PSUAMS-4597)"
"356-172 calBCE (2186±16 BP) [R_combine: (2155±20 BP, PSUAMS-3877); (2231±24 BP, MAMS-41123)]"
"389-208 calBCE (2250±20 BP, PSUAMS-3722)"
"405-235 calBCE (2305±20 BP, UCIAMS-226544, PSUG-5459)"
"355-170 calBCE (2180±15 BP, PSUAMS-4503)"
"1441-1304 calBCE (3120±20 BP, UCIAMS-226528, PSUG-5431)"
"1124-939 calBCE (2875±20 BP, UCIAMS-226545, PSUG-5460)"
"981-832 calBCE (2765±20 BP, UCIAMS-226547, PSUG-5462)"
"1046-914 calBCE (2825±20 BP, UCIAMS-226531, PSUG-5434)"
"967-827 calBCE (2750±20 BP, PSUAMS-6943)"
"898-800 calBCE (2675±20 BP, PSUAMS-7398)"
"1107-924 calBCE (2845±20 BP, PSUAMS-7276)"
"1010-901 calBCE (2799±20 BP) [R_combine: (2780±25 BP, PSUAMS-2946); (2826±30 BP, OxA-36456)]"
"809-779 calBCE (2610±20 BP, PSUAMS-7282)"
"752-417 calBCE (2455±20 BP, PSUAMS-3114)"
"981-832 calBCE (2765±20 BP, PSUAMS-4004)"
"782-567 calBCE (2530±15 BP) [R_combine: (2510±20 BP, PSUAMS-3907); (2550±20 BP, PSUAMS-4252)]"
"40 calBCE - 109 calCE (1985±15 BP) [R_combine: (1950±20 BP, PSUAMS-7395); (2024±21 BP, MAMS-41135)]"
"408-537 calCE (1625±20 BP, UCIAMS-226554, PSUG-5469)"
"1255-1055 calBCE (2950±20 BP, UCIAMS-226549, PSUG-5464)"
"1384-1128 calBCE (3010±25 BP, UCIAMS-226533, PSUG-5436)"
"1377-1130 calBCE (3005±20 BP, UCIAMS-226534, PSUG-5437)"
"1213-1048 calBCE (2925±20 BP, PSUAMS-7115)"
"1398-1228 calBCE (3050±20 BP, PSUAMS-3111)"
"1401-1235 calBCE (3055±20 BP, PSUAMS-3112)"
"1414-1280 calBCE (3080±20 BP, PSUAMS-3113)"
"1006-846 calBCE (2785±20 BP, PSUAMS-7275)"
"1210-1019 calBCE (2920±20 BP, PSUAMS-4006)"
"1124-939 calBCE (2875±20 BP, UCIAMS-226557, PSUG-5472)"
"1044-917 calBCE (2824±17 BP) [R_combine: (2815±20 BP, PSUAMS-2955); (2842±28 BP, OxA-36224)]"
"1259-1056 calBCE (2955±20 BP, PSUAMS-7284)"
"1501-1421 calBCE (3185±20 BP, UCIAMS-226564, PSUG-5483)"
"1446-1305 calBCE (3125±20 BP, UCIAMS-226559, PSUG-5474)"
"1441-1304 calBCE (3120±20 BP, UCIAMS-226550, PSUG-5465)"
"1215-1055 calBCE (2937±17 BP) [R_combine: (2925±20 BP, PSUAMS-7280); (2967±31 BP, OxA-X-2737-54); (2840±70 BP, Le-7979)]"
"1210-1019 calBCE (2920±20 BP, PSUAMS-4005)"
"1488-1308 calBCE (3130±20 BP, UCIAMS-226553, PSUG-5468)"
"1422-1292 calBCE (3095±20 BP, UCIAMS-226561, PSUG-5475)"
"1949-1774 calBCE (3545±20 BP, UCIAMS-226543, PSUG-5458)"
"1749-1617 calBCE (3395±25 BP, PSUAMS-7274)"
"1876-1690 calBCE (3449±17 BP) [R_combine: (3460±20 BP, UCIAMS-226552, PSUG-5467); (3421±32 BP, OxA-X-2737-53); (3150±70 BP, Le-6936)]"
"1615-1452 calBCE (3265±30 BP, UCIAMS-226527, PSUG-5430)"
"5632-5484 calBCE (6655±30 BP, UCIAMS-226523, PSUG-5426)"
"5620-5481 calBCE (6610±30 BP, UCIAMS-226524, PSUG-5427)"
"5630-5483 calBCE (6645±35 BP, UCIAMS-226525, PSUG-5428)"
"5623-5483 calBCE (6629±25 BP) [R_combine: (6565±30 BP, UCIAMS-226532, PSUG-5435); (6739±40 BP, AA-107617)]"
"5621-5482 calBCE (6615±25 BP, PSUAMS-8435)"
"5622-5418 calBCE (6571±47 BP, COL3897.1.1)"
"1958-1646 calBCE (3500±50 BP, GrA-15602)"
"1944-1766 calBCE (3530±25 BP, GrN-8801)"
"752-401 calBCE (2425±40 BP, GrA-47271)"
"95 calBCE - 109 calCE (2015±30 BP, Poz-101607)"
"1210-1015 calBCE (2915±30 BP, Poz-82551)"
"920-806 calBCE (2710±35 BP, GrN-7509)"
"169-9 calBCE (2070±30 BP, Poz-101600)"
"2136-1892 calBCE (3635±40 BP, GrN-5131)"
"2135-1890 calBCE (3630±40 BP, GrN-5566)"
"2197-1983 calBCE (3700±25 BP, PSUAMS-7847)"
"2457-2145 calBCE (3820±45 BP, GrN-6384)"
"1501-1319 calBCE (3155±30 BP, PSUAMS-7788)"
"1415-1230 calBCE (3065±30 BP, Poz-86327)"
"1391-1221 calBCE (3040±20 BP, PSUAMS-9525)"
"1421-1216 calBCE (3060±40 BP, GrN-18960)"
"1620-1311 calBCE (3210±60 BP, GrA-18886)"
"1260-1048 calBCE (2945±30 BP, Poz-92466)"
"1396-932 calBCE (2950±80 BP, GrN-9867)"
"375-121 calBCE (2186±34 BP, UA-38019)"
"356-57 calBCE (2160±30 BP, GrN 25639)"
"811-780 calBCE (2620±20 BP, PSUAMS-4423)"
"978-831 calBCE (2760±20 BP, PSUAMS-4853)"
"925-826 calBCE (2740±20 BP, PSUAMS-2786)"
"978-831 calBCE (2760±20 BP, PSUAMS-2787)"
"1279-1389 calCE (670±25 BP, PSUAMS-4427)"
"819-785 calBCE (2630±20 BP, PSUAMS-5279)"
"1376-1018 calBCE (2964±45 BP, CEDAD-LTL12131A)"
"47 calBCE - 62 calCE (2010±20 BP, PSUAMS-6195)"
"755-420 calBCE (2460±20 BP, PSUAMS-6196)"
"355-114 calBCE (2165±20 BP, PSUAMS-6197)"
"1290-1395 calCE (640±20 BP, PSUAMS-6205)"
"1028-1157 calCE (960±20 BP, PSUAMS-6206)"
"46 calBCE - 66 calCE (2005±20 BP, PSUAMS-6207)"
"165-2 calBCE (2080±20 BP, PSUAMS-2788)"
"42 calBCE - 108 calCE (1990±20 BP, PSUAMS-2789)"
"387-208 calBCE (2247±14 BP) [R_combine: (2346±21 BP, CIRCE-DSH-6526); (2180±30 BP, PSUAMS-3984); (2185±20 BP, PSUAMS-4424)]"
"356-174 calBCE (2190±15 BP) [R_combine: (2175±20 BP, PSUAMS-3761); (2205±20 BP, PSUAMS-4425)]"
"406-209 calBCE (2292±31 BP, CIRCE-DSH-5625)"
"402-234 calBCE (2296±19 BP, CIRCE-DSH-5624)"
"370-197 calBCE (2210±20 BP, PSUAMS-3721)"
"1203-1014 calBCE (2910±25 BP, PSUAMS-5426)"
"904-814 calBCE (2715±20 BP, PSUAMS-2790)"
"967-827 calBCE (2750±20 BP, PSUAMS-2791)"
"1011-901 calBCE (2800±20 BP, PSUAMS-4867)"
"1048-920 calBCE (2830±20 BP, PSUAMS-5280)"
"1012-906 calBCE (2810±20 BP, PSUAMS-5503)"
"928-827 calBCE (2745±20 BP, PSUAMS-2793)"
"898-800 calBCE (2675±20 BP, PSUAMS-2794)"
"971-830 calBCE (2755±20 BP, PSUAMS-2795)"
"897-798 calBCE (2670±20 BP, PSUAMS-2792)"
"911-816 calBCE (2725±20 BP, PSUAMS-4851)"
"906-816 calBCE (2720±20 BP, PSUAMS-2797)"
"1107-924 calBCE (2845±20 BP, PSUAMS-5277)"
"830-790 calBCE (2645±20 BP, PSUAMS-2796)"
"706-945 calCE (1200±30 BP, Beta-428663)"
"1176-1264 calCE (835±15 BP, PSUAMS-4428)"
"1490-1649 calCE (310±30 BP, Beta-428668)"
"1041-1217 calCE (905±30 BP, Poz-83508)"
"1124-984 calBCE (2876±19 BP) [R_combine: (2830±20 BP, PSUAMS-2632); (3098±45 BP, CEDAD-LTL13335A)]"
"1107-913 calBCE (2837±25 BP) [R_combine: (2880±30 BP, Beta-428667); (2758±40 BP, CEDAD-LTL13334A)]"
"1043-854 calBCE (2802±25 BP) [R_combine: (2800±30 BP, Beta-428666); (2808±45 BP, CEDAD-LTL13329A)]"
"1012-906 calBCE (2810±20 BP, PSUAMS-2841)"
"915-808 calBCE (2715±30 BP) [R_combine: (2785±45 BP, CEDAD-LTL13328A); (2659±40 BP, CEDAD-LTL13328A)]"
"1402-1125 calBCE (3018±45 BP, CEDAD-LTL13327A)"
"990-826 calBCE (2760±30 BP, Beta-428664)"
"1009-908 calBCE (2806±18 BP) [R_combine: (2740±20 BP, PSUAMS-2798); (3056±40 BP, CEDAD-LTL13332A)]"
"982-828 calBCE (2760±25 BP, PSUAMS-2157)"
"1203-941 calBCE (2890±30 BP, Beta-428665)"
"985-1030 calCE (1085±20 BP, PSUAMS-1620)"
"710-1015 calCE (1388±18 BP, MAMS-25006)"
"525-705 calCE (1650±20 BP, PSUAMS-1607)"
"710-1010 calCE (1390±15 BP, UCIAMS-186351)"
"2400-2015 calBCE (3971±22 BP, MAMS-27355)"
"2280-2030 calBCE (3780±21 BP, MAMS-27354)"
"1030-1150 calCE (995±20 BP, PSUAMS-1614)"
"1050-1220 calCE (920±20 BP, PSUAMS-1615)"
"790-990 calCE (1187±26 BP, MAMS-12302)"
"1040-1210 calCE (950±20 BP, PSUAMS-1603)"
"1660-1500 calBCE (3340±22 BP, MAMS-14389)"
"3990-3800 calBCE (5160±27 BP, MAMS-14390)"
"6780-6570 calBCE (7870±30 BP, MAMS-14391)"
"6640-6470 calBCE (7760±31 BP, MAMS-14731)"
"635-860 calCE (1493±29 BP, OxA-31120)"
"1230-1415 calCE (866±28 BP, OxA-31119)"
"1315-1470 calCE (745±23 BP, OxA-31424)"
"1300-1455 calCE (773±24 BP, OxA-31425)"
"1065-1405 calCE (955±65 BP, OxA-31423)"
"985-1195 calCE (1156±22 BP, OxA-31422)"
"1215-1280 calCE (820±24 BP, MAMS-12301) "
"1310-1405 calCE (648±19 BP, MAMS-27353)"
"1310-1405 calCE (640±20 BP, PSUAMS-1613)"
"1175-1270 calCE (875±20 BP, PSUAMS-1604)"
"1315-1410 calCE (629±19 BP, MAMS-27352)"
"1185-1390 calCE (965±20 BP, PSUAMS-1606)"
"1325-1425 calCE (595±15 BP, PSUAMS-1605)"
"1390-1435 calCE (580±20 BP, PSUAMS-1616)"
"985-1045 calCE (1065±20 BP, PSUAMS-1905)"
"115 calBCE-205 calCE (2285±25 BP, PSUAMS-1868)"
"1430-1485 calCE (425±20 BP, PSUAMS-1611)"
"1295-1400 calCE (615±20 BP, PSUAMS-1610)"
"1285-1395 calCE (640±20 BP, PSUAMS-1612)"
"470-630 calCE (1558±25 BP, OxA-26973)"
"585-675 calCE (1455±32 BP, OxA-26974)"
"905-1030 calCE (1088±24 BP, OxA-26975)"
"3337-3021 calBCE (4460±30 BP, Beta-430713)"
"3096-2913 calBCE (4390±30 BP, Beta-430714)"
"889-989 calCE (1120±20 BP, PSUAMS-7455)"
"604-660 calCE (1405±20 BP, PSUAMS-7454)"
"1224-1275 calCE (785±20 BP, PSUAMS-7457)"
"2889-2668 calBCE (4186±27 BP, OxA-31221)"
"3011-2890 calBCE (4320±21 BP) [R_combine: (4270±25 BP, PSUAMS-2109); (4409±34 BP, UBA-29307)]"
"3331-2921 calBCE (4430±40 BP, Poz-83425)"
"3088-2919 calBCE (4389±18 BP) [R_combine: (4260±35 BP, Poz-83510); (4423±29 BP, OxA-31219); (4442±29 BP, OxA-31220)]"
"2879-2632 calBCE (4160±25 BP, PSUAMS-1955)"
"2868-2577 calBCE (4120±30 BP, PSUAMS-1957)"
"2874-2586 calBCE (4140±25 BP, PSUAMS-2293)"
"3016-2897 calBCE (4335±25 BP, PSUAMS-2350)"
"3323-2935 calBCE (4435±20 BP, PSUAMS-2405)"
"3011-2900 calBCE (4335±20 BP, PSUAMS-2406)"
"3006-2885 calBCE (4305±20 BP, PSUAMS-2351)"
"3011-2885 calBCE (4310±25 BP, PSUAMS-2352)"
"3092-2923 calBCE (4398±15 BP) [R_combine: (4375±20 BP, PSUAMS-2353); (4420±20 BP, PSUAMS-2368)]"
"3082-2910 calBCE (4370±25 BP, PSUAMS-2354)"
"3011-2897 calBCE (4330±20 BP, PSUAMS-2355)"
"2881-2633 calBCE (4165±25 BP, PSUAMS-1956)"
"2857-2501 calBCE (4095±25 BP, PSUAMS-3883)"
"2618-2468 calBCE (4020±25 BP, PSUAMS-3909)"
"2618-2468 calBCE (4020±25 BP, PSUAMS-3909)"
"2618-2468 calBCE (4020±25 BP, PSUAMS-3909)"
"2844-2496 calBCE (4075±20 BP, PSUAMS-2292)"
"2844-2496 calBCE (4075±20 BP, PSUAMS-2292)"
"2844-2496 calBCE (4075±20 BP, PSUAMS-2292)"
"2879-2632 calBCE (4160±25 BP, PSUAMS-1955)"
"2879-2632 calBCE (4160±25 BP, PSUAMS-1955)"
"4988-4462 calBCE (5860±100 BP, TERRA-06129717)"
"4989-4794 calBCE (5995±35 BP, Poz-83474)"
"4795-4556 calBCE (5840±35 BP, Poz-83475)"
"5211-5001 calBCE (6155±35 BP, Poz-83476)"
"5036-4799 calBCE (6030±40 BP, Poz-83478)"
"5211-4803 calBCE (6080±70 BP, TERRA-b06129705)"
"4841-4706 calBCE (5895±30 BP, PSUAMS-8302)"
"5368-5216 calBCE (6325±35 BP, PSUAMS-2070)"
"4989-4787 calBCE (5985±35 BP, PSUAMS-2114)"
"3705-3633 calBCE (4875±20 BP, PSUAMS-2160)"
"4935-4605 calBCE (5890±60 BP, TERRA-b06129733)"
"4841-4706 calBCE (5895±30 BP, PSUAMS-8302)"
"4983-4726 calBCE (5970±40 BP, Poz-83477)"
"4607-4450 calBCE (5687±30 BP, OxA-43741)"
"4539-4367 calBCE (5635±27 BP, OxA-43742)"
"4676-4458 calBCE (5718±29 BP, OxA-43740)"
"3504-3348 calBCE (4615±25 BP, PSUAMS-3881)"
"3625-3372 calBCE (4705±30 BP, PSUAMS-3874)"
"3516-3370 calBCE (4665±25 BP, PSUAMS-3875)"
"3318-2934 calBCE (4432±17 BP) [R_combine: (4460±30 BP, PSUAMS-3905); (4420±20 BP, PSUAMS-4251)]"
"1053-1223 calCE (875±20 BP, PSUAMS-2115)"
"970-1210 calCE (1760±15 BP, PSUAMS-5476)"
"720-1090 calCE (1900±20 BP, PSUAMS-3736)"
"690-1070 calCE (1945±15 BP, PSUAMS-5324)"
"510-890 calCE (2155±20 BP, PSUAMS-4835)"
"620-980 calCE (2055±15 BP, PSUAMS-5328)"
"1210-1470 calCE (1485±15 BP, PSUAMS-5329)"
"690-1040 calCE (1950±20 BP, PSUAMS-3737)"
"810-1050 calCE (1895±15 BP, PSUAMS-5474)"
"710-990 calCE (1985±20 BP, PSUAMS-5475)"
"970-1210 calCE (1760±15 BP, PSUAMS-5476)"
"730-1010 calCE (1960±20 BP, PSUAMS-5477)"
"620-990 calCE (2050±15 BP, PSUAMS-4836)"
"1050-1400 calCE (1600±15 BP, PSUAMS-4837)"
"630-860 calCE (2090±20 BP, PSUAMS-5478)"
"640-980 calCE (2030±20 BP, PSUAMS-3738)"
"480-710 calCE (2230±20 BP, PSUAMS-5479)"
"348 calBCE - 24 calCE (2091±47 BP, UBA-34056)"
"997-825 calBCE (2760±35 BP, Poz-83438)"
"1386-1212 calBCE (3025±20 BP, PSUAMS-2917)"
"2877-2635 calBCE (4160±20 BP, PSUAMS-2956)"
"2885-2674 calBCE (4185±20 BP, PSUAMS-4275)"
"1613-1503 calBCE (3280±20 BP, PSUAMS-6984)"
"1612-1501 calBCE (3275±20 BP, PSUAMS-2435)"
"1612-1465 calBCE (3270±20 BP, PSUAMS-2960)"
"1607-1450 calBCE (3255±20 BP, PSUAMS-2436)"
"1614-1511 calBCE (3295±20 BP, PSUAMS-2865)"
"1612-1465 calBCE (3270±20 BP, PSUAMS-2437)"
"1686-1518 calBCE (3330±25 BP, PSUAMS-2067)"
"1731-1542 calBCE (3349±16 BP) [R_combine: (3370±25 BP, PSUAMS-3910); (3335±20 BP, PSUAMS-4254)]"
"1615-1466 calBCE (3275±25 BP, PSUAMS-3911)"
"1498-1403 calBCE (3160±20 BP, PSUAMS-4447)"
"2129-1940 calBCE (3640±20 BP, PSUAMS-4274)"
"1732-1542 calBCE (3350±20 BP, PSUAMS-2918)"
"2024-1779 calBCE (3572±29 BP, OxA-12530)"
"2008-1773 calBCE (3550±25 BP, PSUAMS-1954)"
"2012-1772 calBCE (3549±29 BP, OxA-12531)"
"1928-1751 calBCE (3520±25 BP, PSUAMS-2064)"
"1879-1693 calBCE (3460±20 BP, PSUAMS-2102)"
"1891-1743 calBCE (3495±25 BP, PSUAMS-1952)"
"1931-1749 calBCE (3520±30 BP, Beta-436294)"
"2016-1773 calBCE (3555±31 BP, OxA-12533)"
"1951-1770 calBCE (3540±25 BP, PSUAMS-1953)"
"1919-1701 calBCE (3500±30 BP, Beta-436363)"
"1886-1694 calBCE (3475±30 BP, PSUAMS-2101)"
"1879-1632 calBCE (3440±30 BP, Beta-436293)"
"2877-2626 calBCE (4150±31 BP, OxA-16190)"
"2026-1701 calBCE (3540±52 BP, AA-90949)"
"2133-1751 calBCE (3584±55 BP, AA-90948)"
"3326-2926 calBCE (4430±25 BP, PSUAMS-5790)"
"4230-3984 calBCE (5261±33 BP, OxA-33486)"
"6329-6079 calBCE (7343±29 BP) [R_combine: (7330±40 BP, Poz-82198); (7355±40 BP, OxA-33489)]"
"4723-4550 calBCE (5805±25 BP, PSUAMS-2359)"
"830-1260 calCE [union of two dates: 900-1260 calCE (1780±15 BP, PSUAMS-5325); 830-1190 calCE (1825±20 BP, PSUAMS-1906)]"
"900-1250 calCE (1765±20 BP, PSUAMS-3739)"
"990-1320 calCE (1695±15 BP, PSUAMS-5332)"
"2897-2704 calBCE (4220±18 BP) [R_combine: (4215±25 BP, PSUAMS-3742); (4225±25 BP, PSUAMS-1963)]"
"2570-2460 calBCE (3995±20 BP, PSUAMS-5326)"
"4350-4260 calBCE (5455±20 BP, PSUAMS-5327)"
"5210-4960 calBCE (6120±30 BP, PSUAMS-3741)"
"2900-2700 calBCE (4210±20 BP, PSUAMS-4858)"
"2840-2490 calBCE (4070±20 BP, PSUAMS-3743)"
"2860-2500 calBCE (4095±25 BP, PSUAMS-3744)"
"3950-3790 calBCE (5070±20 BP, PSUAMS-4857)"
"1280-1390 calCE (645±15 BP, PSUAMS-4859)"
"2620-2480 calBCE (4035±20 BP, PSUAMS-5333)"
"2860-2570 calBCE (4105±20 BP, PSUAMS-5480)"
"3790-3690 calBCE (4970±20 BP, PSUAMS-5481)"
"2140-1901 calBCE (3650±40 BP, SUERC-5318)"
"2337-2138 calBCE (3794±26 BP, OxA-13660)"
"2269-1985 calBCE (3721±33 BP, OxA-13097)"
"2269-1985 calBCE (3721±33 BP, OxA-13097)"
"2134-2056 calBCE (3657±20 BP) [R_combine: (3679±28 BP, SUERC-80274); (3634±28 BP, SUERC-80275)]"
"750-404 calBCE (2430±30 BP, SUERC-24246)"
"727-396 calBCE (2395±30 BP, SUERC-21988)"
"42 calBCE - 116 calCE (1983±24 BP, SUERC-97411)"
"44 calBCE - 117 calCE (1987±29 BP, SUERC-94954)"
"97 calBCE - 107 calCE (2019±30 BP, SUERC-94959)"
"196 calBCE - 3 calCE (2091±30 BP, SUERC-94953)"
"197 calBCE - 1 calCE (2095±30 BP, SUERC-24248)"
"159 calBCE - 26 calCE (2050±30 BP, SUERC-24241)"
"90 calBCE - 110 calCE (2010±30 BP, SUERC-50518)"
"43 calBCE - 117 calCE (1984±28 BP, SUERC-50519)"
"152 calBCE - 22 calCE (2052±26 BP, SUERC-68732)"
"41 calBCE - 121 calCE (1977±29 BP, SUERC-68706)"
"170 calBCE - 10 calCE (2070±31 BP, SUERC-73990)"
"173 calBCE - 8 calCE (2075±31 BP, SUERC-73991)"
"42 calBCE - 119 calCE (1980±28 BP, SUERC-73992)"
"151 calBCE - 77 calCE (2030±35 BP, GrA-27298)"
"1283-940 calBCE (2930±50 BP, GU-2762)"
"4444-4255 calBCE (5492±36 BP, SUERC-69249)"
"4444-4255 calBCE (5492±36 BP, SUERC-69249)"
"395-207 calBCE (2260±29 BP, SUERC-68733)"
"399-207 calBCE (2271±33 BP, SUERC-69075)"
"364-121 calBCE (2180±30 BP, SUERC-24252)"
"337-43 calBCE (2103±30 BP, SUERC-94958)"
"361-110 calBCE (2175±30 BP, SUERC-24247)"
"364-121 calBCE (2180±30 BP, SUERC-21990)"
"355-55 calBCE (2155±30 BP, SUERC-24250)"
"346-51 calBCE (2130±30 BP, SUERC-21991)"
"349-51 calBCE (2135±30 BP, SUERC-24257)"
"3331-3022 calBCE (4455±22 BP, SUERC-95467)"
"3706-3536 calBCE (4856±33 BP, SUERC-69074)"
"3751-3636 calBCE (4895±25 BP, PSUAMS-5771)"
"3647-3533 calBCE (4832±14 BP) [R_combine: (4830±25 BP, PSUAMS-5772); (4840±30 BP, PSUAMS-5773); (4830±25 BP, PSUAMS-5774); (4830±25 BP, PSUAMS-5776)]"
"3629-3377 calBCE (4725±25 BP, PSUAMS-5775)"
"5610-5376 calBCE (6520±40 BP, Poz-82186)"
"4712-4502 calBCE (5760±40 BP, Poz-82185)"
"757-423 calBCE (2465±20 BP, PSUAMS-8932)"
"783-549 calBCE (2525±20 BP, PSUAMS-10087)"
"94 calBCE - 58 calCE (2030±20 BP, PSUAMS-8929)"
"151 calBCE - 8 calCE (2060±15 BP, PSUAMS-8882)"
"167-46 calBCE (2090±20 BP, PSUAMS-8931)"
"729-402 calBCE (2410±25 BP, KIA-37317)"
"742-400 calBCE (2412±29 BP, SUERC-69421)"
"750-415 calBCE (2450±20 BP, KIA-37316)"
"763-425 calBCE (2470±25 BP, KIA-37315)"
"787-544 calBCE (2518±28 BP, SUERC-69417)"
"795-592 calBCE (2550±15 BP, PSUAMS-3055)"
"796-570 calBCE (2550±20 BP, PSUAMS-3092)"
"776-539 calBCE (2499±28 BP, SUERC-69422)"
"901-805 calBCE (2693±29 BP, SUERC-69436)"
"1423-1268 calBCE (3086±30 BP, SUERC-69437)"
"401-208 calBCE (2281±29 BP, SUERC-69438)"
