"Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"
"1033-1158 calCE (950±15 BP, PSUAMS-7286)"
"892-995 calCE (1095±20 BP, PSUAMS-7287)"
"993-1151 calCE (995±20 BP, PSUAMS-8796)"
"2344-2039 calBCE (3780±40 BP, OxA-8729)"
"2393-2144 calBCE (3812±25 BP, NZA-32486)"
"2289-2052 calBCE (3769±27 BP, SUERC-80166)"
"1954-1749 calBCE (3535±33 BP, SUERC-76360)"
"2285-2036 calBCE (3751±32 BP, SUERC-55908)"
"1879-1627 calBCE (3437±36 BP, UBA-28373)"
"1919-1742 calBCE (3502±28 BP, SUERC-52010)"
"1918-1750 calBCE (3515±20 BP, PSUAMS-8288)"
"442-637 calCE (1513±25 BP, OxA-28869)"
"665-775 calCE (1288±25 BP, OxA-29574)"
"643-821 calCE (1320±45 BP, OxA-X-2565-12)"
"686-883 calCE (1230±25 BP, OxA-29572)"
"426-575 calCE (1560±30 BP, Beta-397731)"
"416-545 calCE (1600±30 BP, Beta-397733)"
"419-548 calCE (1590±30 BP, Beta-397734)"
"717-395 calBCE (2385±29 BP, SUERC-78046)"
"176 calBCE - 6 calCE (2082±29 BP, SUERC-78041)"
"104 calBCE - 65 calCE (2031±27 BP, SUERC-52029)"
"50 calBCE - 116 calCE (1997±31 BP, SUERC-52038)"
"105 calBCE - 64 calCE (2032±27 BP, SUERC-52030)"
"196-4 calBCE (2090±30 BP, Beta-520210)"
"387-205 calBCE (2242±25 BP, SUERC-83069)"
"409-229 calBCE (2302±29 BP, SUERC-78040)"
"391-201 calBCE (2239±31 BP, SUERC-52014)"
"391-201 calBCE (2241±31 BP, SUERC-52013)"
"340-47 calBCE (2113±29 BP, SUERC-52028)"
"344-52 calBCE (2128±27 BP, SUERC-52024)"
"343-1 calBCE (2105±35 BP, SUERC-33543)"
"351-55 calBCE (2147±24 BP, SUERC-80670)"
"334-42 calBCE (2100±30 BP, Beta-516926)"
"358-111 calBCE (2171±25 BP, SUERC-83079)"
"346-53 calBCE (2136±25 BP, SUERC-83077)"
"1894-1695 calBCE (3486±32 BP, SUERC-52008)"
"2453-2146 calBCE (3826±33 BP, SUERC-55526)"
"351-54 calBCE (2146±24 BP, SUERC-104564)"
"733-397 calBCE (2400±30 BP, Beta-471582)"
"743-404 calBCE (2422±25 BP, SUERC-41925)"
"742-399 calBCE (2409±30 BP, SUERC-94992)"
"765-489 calBCE (2475±20 BP, PSUAMS-7611)"
"783-541 calBCE (2510±29 BP, SUERC-80169)"
"539-387 calBCE (2362±29 BP, SUERC-80168)"
"793-544 calBCE (2527±30 BP, SUERC-94972)"
"541-391 calBCE (2373±30 BP, SUERC-94974)"
"775-516 calBCE (2492±28 BP, SUERC-41682)"
"753-411 calBCE (2448±29 BP, SUERC-41684)"
"750-408 calBCE (2439±28 BP, SUERC-41691)"
"727-400 calBCE (2405±27 BP, OxA-18430)"
"779-524 calBCE (2502±30 BP, SUERC-95002)"
"514-391 calBCE (2365±20 BP) [R_combine: (2375±25 BP, OxA-20796); (2350±30 BP, SUERC-24072)]"
"719-384 calBCE (2365±35 BP, GrA-35980)"
"713-381 calBCE (2358±34 BP, SUERC-49184)"
"734-403 calBCE (2415±25 BP, SUERC-53042)"
"658-397 calBCE (2389±26 BP, OxA-25953)"
"777-516 calBCE (2496±30 BP, SUERC-70743)"
"787-544 calBCE (2518±30 BP, SUERC-70739)"
"542-396 calBCE (2386±26 BP, SUERC-66076)"
"725-400 calBCE (2405±25 BP, SUERC-66078)"
"761-422 calBCE (2468±26 BP, SUERC-53039)"
"779-541 calBCE (2506±28 BP, SUERC-41683)"
"767-423 calBCE (2471±28 BP, SUERC-41689)"
"460-382 calBCE (2342±21 BP) [R_combine: (2359±29 BP, SUERC-41690); (2327±28 BP, SUERC-47739)]"
"771-476 calBCE (2478±28 BP, SUERC-41694)"
"748-406 calBCE (2430±25 BP, SUERC-97712)"
"774-540 calBCE (2493±25 BP, SUERC-97713)"
"750-411 calBCE (2444±25 BP, SUERC-97717)"
"758-416 calBCE (2460±30 BP, OxA-29233)"
"780-541 calBCE (2507±28 BP, SUERC-41693)"
"340 BCE - 6 CE (2143±25 BP, SUERC-97711, marine calibrated)"
"754-416 calBCE (2455±25 BP, BRAMS-1321)"
"149 calBCE - 60 calCE (2039±27 BP, OxA-29573)"
"166 calBCE - 116 calCE (2029±49 BP, Wk - 12599)"
"356-54 calBCE (2155±35 BP, SUERC-14246)"
"1055-904 calBCE (2828±27 BP, BRAMS-1298)"
"1011-916 calBCE (2815±15 BP, PSUAMS-7613)"
"1055-837 calBCE (2810±35 BP, SUERC-40719)"
"912-807 calBCE (2710±30 BP, GrA-37966)"
"1014-836 calBCE (2790±30 BP, GrA-37751)"
"903-807 calBCE (2698±27 BP, OxA-18429)"
"1011-860 calBCE (2795±20 BP, PSUAMS-7671)"
"900-798 calBCE (2677±30 BP, OxA-17805)"
"982-812 calBCE (2745±35 BP, GrA-36000)"
"983-816 calBCE (2750±35 BP, GrA-36002)"
"1201-933 calBCE (2883±32 BP, SUERC-66411) "
"1214-1052 calBCE (2932±19 BP) [R_combine: (2946±27 BP, SUERC-49770); (2920±25 BP, PSUAMS-7561)]"
"912-808 calBCE (2713±29 BP, OxA-17804)"
"967-811 calBCE (2735±30 BP, GrA-37713)"
"1259-912 calBCE (2890±60 BP, BM-2919) "
"1048-920 calBCE (2830±20 BP, PSUAMS-7667)"
"197-44 calBCE (2103±27 BP, SUERC-94960)"
"149 calBCE - 65 calCE (2035±30 BP, SUERC-94968)"
"166 calBCE - 14 calCE (2064±30 BP, SUERC-94969)"
"101 calBCE - 59 calCE (2035±22 BP) [R_combine: (2056±30 BP, SUERC-95019); (2013±31 BP, SUERC-52144)]"
"162 calBCE - 26 calCE (2051±32 BP, SUERC-56654)"
"193-6 calBCE (2084±30 BP, SUERC-27314)"
"92 calBCE - 110 calCE (2012±30 BP, SUERC-70741)"
"43 calBCE - 110 calCE (1990±25 BP, PSUAMS-7826)"
"195 calBCE - 7 calCE (2084±31 BP, SUERC-52142)"
"46 calBCE - 117 calCE (1989±30 BP, SUERC-94994)"
"153 calBCE - 25 calCE (2048±26 BP, SUERC-94998)"
"173 calBCE - 5 calCE (2080±27 BP, SUERC-74473)"
"174-51 calBCE (2109±17 BP, SUERC-80747)"
"103 calBCE - 107 calCE (2023±31 BP, SUERC-50796)"
"175 calBCE - 8 calCE (2080±30 BP, SUERC-40286)"
"196 calBCE - 5 calCE (2087±30 BP, SUERC-94988)"
